/api/transaction/create  ( Time -> September 18, 2023 9:50 AM)

/api/transaction/create  ( Time -> September 18, 2023 9:53 AM)

productFound is not defined  ( Time -> September 18, 2023 9:53 AM)

/api/auth/login  ( Time -> September 18, 2023 9:54 AM)

/api/transaction/create  ( Time -> September 18, 2023 9:54 AM)

/api/transaction/create  ( Time -> September 18, 2023 9:55 AM)

/api/transaction/create  ( Time -> September 18, 2023 9:58 AM)

/api/transaction/create  ( Time -> September 18, 2023 10:38 AM)

Transaction validation failed: total: Path `total` is required.  ( Time -> September 18, 2023 10:38 AM)

/api/transaction/create  ( Time -> September 18, 2023 10:38 AM)

/api/transaction/create  ( Time -> September 18, 2023 10:42 AM)

/api/transaction/create  ( Time -> September 18, 2023 10:43 AM)

/api/cart/create  ( Time -> September 18, 2023 10:43 AM)

/api/transaction/create  ( Time -> September 18, 2023 10:44 AM)

Cannot read properties of undefined (reading 'originalUrl')  ( Time -> September 18, 2023 10:50 AM)

/api/transaction/all  ( Time -> September 18, 2023 10:51 AM)

/api/transaction/all  ( Time -> September 18, 2023 10:52 AM)

/api/transaction/all  ( Time -> September 18, 2023 10:52 AM)

/api/transaction/all  ( Time -> September 18, 2023 11:03 AM)

/api/transaction/all  ( Time -> September 18, 2023 11:04 AM)

/api/auth/login  ( Time -> September 18, 2023 11:05 AM)

/api/transaction/create  ( Time -> September 18, 2023 11:05 AM)

/api/cart/create  ( Time -> September 18, 2023 11:05 AM)

/api/cart/cartByUser  ( Time -> September 18, 2023 11:05 AM)

/api/transaction/create  ( Time -> September 18, 2023 11:06 AM)

/api/transaction/create  ( Time -> September 18, 2023 11:07 AM)

/api/cart/cartByUser  ( Time -> September 18, 2023 11:07 AM)

/api/auth/login  ( Time -> September 18, 2023 11:07 AM)

/api/cart/cartByUser  ( Time -> September 18, 2023 11:07 AM)

/api/transaction/create  ( Time -> September 18, 2023 11:39 AM)

Cast to ObjectId failed for value "" (type string) at path "_id" for model "Cart"  ( Time -> September 18, 2023 11:39 AM)

/api/transaction/create  ( Time -> September 18, 2023 11:40 AM)

sendValidationError is not defined  ( Time -> September 18, 2023 11:40 AM)

/api/transaction/create  ( Time -> September 18, 2023 11:40 AM)

/api/transaction/create  ( Time -> September 18, 2023 11:41 AM)

/api/transaction/create  ( Time -> September 18, 2023 11:41 AM)

/api/transaction/create  ( Time -> September 18, 2023 11:43 AM)

/api/books/details/65018c91b5b9996c54eb0fdd  ( Time -> September 18, 2023 11:49 AM)

/api/books/details/65018c91b5b9996c54eb0fdd  ( Time -> September 18, 2023 11:50 AM)

bookIds is not defined  ( Time -> September 18, 2023 11:50 AM)

/api/books/details/65018c91b5b9996c54eb0fdd  ( Time -> September 18, 2023 11:51 AM)

/api/books/details/65018c91b5b9996c54eb0fdd  ( Time -> September 18, 2023 11:52 AM)

/api/books/details/65018c91b5b9996c54eb0fdd  ( Time -> September 18, 2023 11:53 AM)

/api/books/details/65018c91b5b9996c54eb0fdd  ( Time -> September 18, 2023 11:53 AM)

/api/books/details/65018c91b5b9996c54eb0fdd  ( Time -> September 18, 2023 11:53 AM)

/api/books/details/65018c91b5b9996c54eb0fdd  ( Time -> September 18, 2023 11:55 AM)

/api/books/details/65018c91b5b9996c54eb0fdd  ( Time -> September 18, 2023 11:56 AM)

/api/books/details/65018c91b5b9996c54eb0fdd  ( Time -> September 18, 2023 11:58 AM)

book is not defined  ( Time -> September 18, 2023 11:58 AM)

/api/books/details/65018c91b5b9996c54eb0fdd  ( Time -> September 18, 2023 11:58 AM)

book is not defined  ( Time -> September 18, 2023 11:58 AM)

/api/books/details/65018c91b5b9996c54eb0fdd  ( Time -> September 18, 2023 11:59 AM)

discount is not defined  ( Time -> September 18, 2023 11:59 AM)

/api/books/details/65018c91b5b9996c54eb0fdd  ( Time -> September 18, 2023 11:59 AM)

/api/books/details/65018c91b5b9996c54eb0fdd  ( Time -> September 18, 2023 12:00 PM)

/api/books/details/65018c91b5b9996c54eb0fdd  ( Time -> September 18, 2023 12:00 PM)

/api/books/details/65018c91b5b9996c54eb0fdd  ( Time -> September 18, 2023 12:03 PM)

/api/books/details/65018c91b5b9996c54eb0fe1  ( Time -> September 18, 2023 12:04 PM)

/api/auth/login  ( Time -> September 18, 2023 3:16 PM)

/api/cart/create  ( Time -> September 18, 2023 3:17 PM)

/api/cart/cartByUser  ( Time -> September 18, 2023 3:17 PM)

/api/auth/login  ( Time -> September 18, 2023 3:17 PM)

/api/discount-price/create  ( Time -> September 18, 2023 3:18 PM)

/api/discount-price/create  ( Time -> September 18, 2023 3:18 PM)

/api/discount-price/create  ( Time -> September 18, 2023 3:19 PM)

/api/cart/cartByUser  ( Time -> September 18, 2023 3:19 PM)

/api/cart/cartByUser  ( Time -> September 18, 2023 3:20 PM)

/api/cart/cartByUser  ( Time -> September 18, 2023 3:21 PM)

/api/cart/cartByUser  ( Time -> September 18, 2023 3:23 PM)

discountPrices is not defined  ( Time -> September 18, 2023 3:24 PM)

/api/cart/cartByUser  ( Time -> September 18, 2023 3:24 PM)

/api/cart/cartByUser  ( Time -> September 18, 2023 3:24 PM)

/api/cart/cartByUser  ( Time -> September 18, 2023 3:25 PM)

/api/cart/cartByUser  ( Time -> September 18, 2023 3:26 PM)

/api/cart/cartByUser  ( Time -> September 18, 2023 3:26 PM)

/api/cart/cartByUser  ( Time -> September 18, 2023 3:27 PM)

/api/cart/cartByUser  ( Time -> September 18, 2023 3:28 PM)

/api/cart/cartByUser  ( Time -> September 18, 2023 3:28 PM)

/api/cart/cartByUser  ( Time -> September 18, 2023 3:29 PM)

/api/cart/cartByUser  ( Time -> September 18, 2023 3:30 PM)

/api/cart/cartByUser  ( Time -> September 18, 2023 3:30 PM)

/api/cart/cartByUser  ( Time -> September 18, 2023 3:31 PM)

/api/cart/cartByUser  ( Time -> September 18, 2023 3:31 PM)

/api/cart/cartByUser  ( Time -> September 18, 2023 3:32 PM)

/api/cart/cartByUser  ( Time -> September 18, 2023 3:33 PM)

/api/cart/cartByUser  ( Time -> September 18, 2023 3:34 PM)

/api/cart/cartByUser  ( Time -> September 18, 2023 3:35 PM)

/api/cart/cartByUser  ( Time -> September 18, 2023 3:36 PM)

/api/cart/cartByUser  ( Time -> September 18, 2023 3:37 PM)

price is not defined  ( Time -> September 18, 2023 3:37 PM)

/api/cart/cartByUser  ( Time -> September 18, 2023 3:37 PM)

/api/discount-price/create  ( Time -> September 18, 2023 3:38 PM)

/api/cart/cartByUser  ( Time -> September 18, 2023 3:38 PM)

/api/cart/cartByUser  ( Time -> September 18, 2023 3:41 PM)

authorIds is not defined  ( Time -> September 18, 2023 3:41 PM)

/api/cart/cartByUser  ( Time -> September 18, 2023 3:42 PM)

/api/cart/cartByUser  ( Time -> September 18, 2023 3:42 PM)

/api/transaction/create  ( Time -> September 18, 2023 3:45 PM)

/api/transaction/create  ( Time -> September 18, 2023 3:45 PM)

/api/transaction/create  ( Time -> September 18, 2023 3:46 PM)

/api/transaction/create  ( Time -> September 18, 2023 3:46 PM)

/api/transaction/create  ( Time -> September 18, 2023 3:49 PM)

CartModel is not defined  ( Time -> September 18, 2023 3:49 PM)

/api/transaction/create  ( Time -> September 18, 2023 3:49 PM)

/api/transaction/create  ( Time -> September 18, 2023 3:50 PM)

